Date,Price,Open,High,Low,Vol.,Change %
"Sep 17, 2020","8,05,161","8,05,458","8,11,729","7,92,074",-,0.01%
"Sep 16, 2020","8,05,114","7,94,138","8,15,279","7,85,318",-,1.44%
"Sep 15, 2020","7,93,663","7,82,727","8,04,374","7,81,623",-,1.38%
"Sep 14, 2020","7,82,885","7,59,195","7,88,501","7,54,149",-,3.21%
"Sep 13, 2020","7,58,518","7,66,681","7,76,910","7,50,303",-,-1.07%
"Sep 12, 2020","7,66,713","7,62,886","7,69,311","7,54,596",-,0.49%
"Sep 11, 2020","7,62,976","7,59,139","7,63,328","7,50,705",-,0.46%
"Sep 10, 2020","7,59,516","7,49,086","7,68,277","7,49,086",-,1.37%
"Sep 09, 2020","7,49,267","7,47,139","7,58,180","7,36,457",-,0.29%
"Sep 08, 2020","7,47,090","7,62,663","7,66,151","7,27,738",-,-1.93%
"Sep 07, 2020","7,61,789","7,50,614","7,64,030","7,26,015",-,1.44%
"Sep 06, 2020","7,51,008","7,44,746","7,58,218","7,33,125",-,0.81%
"Sep 05, 2020","7,44,960","7,65,914","7,73,887","7,24,246",-,-2.82%
"Sep 04, 2020","7,66,594","7,44,769","7,77,888","7,26,677",-,2.83%
"Sep 03, 2020","7,45,469","8,34,459","8,39,419","7,33,832",-,-10.64%
"Sep 02, 2020","8,34,271","8,69,903","8,72,347","8,18,736",-,-4.15%
"Sep 01, 2020","8,70,385","8,53,397","8,79,603","8,46,303",-,1.97%
"Aug 31, 2020","8,53,531","8,57,038","8,62,538","8,50,398",-,-0.28%
"Aug 30, 2020","8,55,916","8,38,341","8,56,076","8,37,923",-,2.05%
"Aug 29, 2020","8,38,705","8,42,575","8,46,489","8,36,045",-,-0.46%
"Aug 28, 2020","8,42,612","8,36,989","8,43,527","8,33,537",-,0.89%
"Aug 27, 2020","8,35,207","8,50,410","8,55,242","8,23,630",-,-1.87%
"Aug 26, 2020","8,51,149","8,40,053","8,56,091","8,35,230",-,1.26%
"Aug 25, 2020","8,40,529","8,71,802","8,72,613","8,25,662",-,-3.58%
"Aug 24, 2020","8,71,770","8,72,598","8,80,853","8,67,833",-,-0.11%
"Aug 23, 2020","8,72,737","8,73,833","8,77,571","8,63,018",-,-0.22%
"Aug 22, 2020","8,74,683","8,63,797","8,75,414","8,52,553",-,1.31%
"Aug 21, 2020","8,63,408","8,89,135","8,90,956","8,61,245",-,-2.92%
"Aug 20, 2020","8,89,342","8,79,799","8,91,075","8,75,785",-,1.16%
"Aug 19, 2020","8,79,101","8,90,806","8,96,204","8,69,748",-,-1.48%
"Aug 18, 2020","8,92,269","9,18,121","9,25,507","8,84,228",-,-2.65%
"Aug 17, 2020","9,16,586","8,92,580","9,30,846","8,81,852",-,2.73%
"Aug 16, 2020","8,92,207","8,87,705","8,93,643","8,76,290",-,0.37%
"Aug 15, 2020","8,88,884","8,80,859","8,97,018","8,78,482",-,0.96%
"Aug 14, 2020","8,80,462","8,82,682","8,87,192","8,70,609",-,-0.05%
"Aug 13, 2020","8,80,930","8,64,954","8,81,306","8,43,605",-,1.85%
"Aug 12, 2020","8,64,929","8,50,157","8,67,854","8,37,205",-,1.72%
"Aug 11, 2020","8,50,288","8,90,364","8,93,596","8,31,715",-,-4.49%
"Aug 10, 2020","8,90,216","8,76,790","9,04,511","8,63,683",-,1.54%
"Aug 09, 2020","8,76,744","8,82,976","8,84,765","8,64,688",-,-0.66%
"Aug 08, 2020","8,82,541","8,69,687","8,85,702","8,65,090",-,1.49%
"Aug 07, 2020","8,69,616","8,80,981","8,91,680","8,51,117",-,-1.26%
"Aug 06, 2020","8,80,726","8,78,490","8,90,831","8,66,135",-,0.27%
"Aug 05, 2020","8,78,366","8,40,564","8,81,096","8,33,868",-,4.56%
"Aug 04, 2020","8,40,047","8,43,806","8,57,623","8,31,701",-,-0.44%
"Aug 03, 2020","8,43,765","8,29,444","8,62,598","8,23,467",-,1.68%
"Aug 02, 2020","8,29,813","8,84,113","9,06,397","7,90,842",-,-6.21%
"Aug 01, 2020","8,84,781","8,49,375","8,88,206","8,40,931",-,4.31%
"Jul 31, 2020","8,48,261","8,31,054","8,57,166","8,21,284",-,2.08%
"Jul 30, 2020","8,30,968","8,31,919","8,36,028","8,14,124",-,-0.11%
"Jul 29, 2020","8,31,919","8,17,588","8,48,987","8,11,482",-,1.77%
"Jul 28, 2020","8,17,429","8,24,297","8,40,032","7,92,863",-,-0.87%
"Jul 27, 2020","8,24,604","7,42,325","8,50,177","7,41,859",-,11.09%
"Jul 26, 2020","7,42,254","7,25,171","7,52,925","7,21,434",-,2.35%
"Jul 25, 2020","7,25,206","7,13,159","7,27,158","7,12,429",-,1.66%
"Jul 24, 2020","7,13,373","7,18,462","7,19,976","7,08,822",-,-0.72%
"Jul 23, 2020","7,18,564","7,10,512","7,22,717","7,06,415",-,1.10%
"Jul 22, 2020","7,10,773","6,99,780","7,11,145","6,94,531",-,1.60%
"Jul 21, 2020","6,99,560","6,84,562","7,03,656","6,84,328",-,2.17%
"Jul 20, 2020","6,84,686","6,90,453","6,90,453","6,83,305",-,-0.72%
"Jul 19, 2020","6,89,661","6,87,058","6,90,883","6,82,187",-,0.39%
"Jul 18, 2020","6,87,002","6,85,926","6,89,310","6,83,681",-,0.15%
"Jul 17, 2020","6,85,975","6,86,788","6,88,443","6,82,259",-,-0.09%
"Jul 16, 2020","6,86,571","6,91,346","6,93,456","6,81,240",-,-0.63%
"Jul 15, 2020","6,90,924","6,97,935","6,99,287","6,89,121",-,-0.98%
"Jul 14, 2020","6,97,782","6,94,659","6,99,418","6,88,808",-,0.35%
"Jul 13, 2020","6,95,353","7,00,243","7,02,467","6,91,996",-,-0.61%
"Jul 12, 2020","6,99,631","6,94,349","7,01,977","6,89,491",-,0.77%
"Jul 11, 2020","6,94,303","6,98,260","6,99,190","6,90,635",-,-0.56%
"Jul 10, 2020","6,98,206","6,93,964","7,00,451","6,86,532",-,0.61%
"Jul 09, 2020","6,93,993","7,07,199","7,07,287","6,89,831",-,-1.87%
"Jul 08, 2020","7,07,209","6,92,590","7,09,965","6,90,966",-,2.13%
"Jul 07, 2020","6,92,468","6,96,792","6,99,436","6,88,964",-,-0.70%
"Jul 06, 2020","6,97,377","6,77,439","6,99,056","6,75,978",-,2.86%
"Jul 05, 2020","6,78,004","6,82,029","6,82,333","6,64,797",-,-0.48%
"Jul 04, 2020","6,81,265","6,76,308","6,85,768","6,75,288",-,0.61%
"Jul 03, 2020","6,77,109","6,79,224","6,82,415","6,74,560",-,-0.30%
"Jul 02, 2020","6,79,154","6,96,600","6,98,647","6,69,997",-,-2.51%
"Jul 01, 2020","6,96,658","6,90,290","7,01,332","6,87,356",-,0.91%
"Jun 30, 2020","6,90,369","6,94,135","6,94,850","6,85,628",-,-0.48%
"Jun 29, 2020","6,93,722","6,89,080","6,97,379","6,81,895",-,0.45%
"Jun 28, 2020","6,90,591","6,81,501","6,94,856","6,76,742",-,1.30%
"Jun 27, 2020","6,81,714","6,92,839","6,95,403","6,69,704",-,-1.60%
"Jun 26, 2020","6,92,784","6,98,349","7,02,155","6,85,450",-,-0.86%
"Jun 25, 2020","6,98,768","7,03,858","7,04,896","6,83,865",-,-0.75%
"Jun 24, 2020","7,04,035","7,26,552","7,31,756","6,98,036",-,-3.12%
"Jun 23, 2020","7,26,712","7,34,206","7,36,601","7,24,679",-,-1.00%
"Jun 22, 2020","7,34,086","7,08,813","7,39,227","7,08,050",-,3.57%
"Jun 21, 2020","7,08,814","7,13,681","7,18,040","7,08,304",-,-0.65%
"Jun 20, 2020","7,13,458","7,09,995","7,16,387","7,00,486",-,0.42%
"Jun 19, 2020","7,10,467","7,16,432","7,17,716","7,04,850",-,-0.96%
"Jun 18, 2020","7,17,353","7,22,018","7,22,467","7,09,544",-,-0.60%
"Jun 17, 2020","7,21,680","7,27,073","7,27,603","7,07,154",-,-0.65%
"Jun 16, 2020","7,26,376","7,16,098","7,29,330","7,12,176",-,1.44%
"Jun 15, 2020","7,16,040","7,10,172","7,21,398","6,79,781",-,0.79%
"Jun 14, 2020","7,10,413","7,20,234","7,20,631","7,04,339",-,-1.28%
"Jun 13, 2020","7,19,598","7,19,813","7,21,795","7,12,325",-,-0.04%
"Jun 12, 2020","7,19,856","7,04,715","7,24,447","7,02,721",-,1.97%
"Jun 11, 2020","7,05,967","7,47,949","7,52,274","6,98,076",-,-5.63%
"Jun 10, 2020","7,48,052","7,37,699","7,55,091","7,33,047",-,1.43%
"Jun 09, 2020","7,37,499","7,37,431","7,44,122","7,26,433",-,0.06%
"Jun 08, 2020","7,37,081","7,37,060","7,38,633","7,28,647",-,0.09%
"Jun 07, 2020","7,36,389","7,30,769","7,39,328","7,12,471",-,0.74%
"Jun 06, 2020","7,30,978","7,27,587","7,35,529","7,21,096",-,0.47%
"Jun 05, 2020","7,27,585","7,39,121","7,44,034","7,24,714",-,-1.49%
"Jun 04, 2020","7,38,625","7,28,394","7,44,957","7,16,123",-,1.51%
"Jun 03, 2020","7,27,635","7,15,529","7,28,381","7,09,693",-,1.66%
"Jun 02, 2020","7,15,767","7,72,023","7,72,023","7,01,997",-,-7.12%
"Jun 01, 2020","7,70,671","7,14,411","7,81,756","7,13,053",-,7.74%
"May 31, 2020","7,15,323","7,32,990","7,33,344","7,10,767",-,-2.41%
"May 30, 2020","7,32,975","7,12,678","7,35,964","7,07,098",-,2.87%
"May 29, 2020","7,12,543","7,26,050","7,26,835","7,07,224",-,-1.58%
"May 28, 2020","7,24,008","6,98,844","7,27,481","6,90,506",-,3.69%
"May 27, 2020","6,98,264","6,66,849","7,00,053","6,65,505",-,4.65%
"May 26, 2020","6,67,265","6,75,585","6,81,424","6,56,502",-,-1.10%
"May 25, 2020","6,74,693","6,61,632","6,80,272","6,58,359",-,1.63%
"May 24, 2020","6,63,904","6,97,209","7,06,066","6,63,000",-,-4.74%
"May 23, 2020","6,96,965","6,96,385","7,06,588","6,90,004",-,0.11%
"May 22, 2020","6,96,191","6,85,643","7,03,427","6,78,614",-,1.86%
"May 21, 2020","6,83,481","7,18,493","7,22,779","6,66,943",-,-4.91%
"May 20, 2020","7,18,800","7,40,482","7,44,836","7,07,062",-,-2.86%
"May 19, 2020","7,39,932","7,36,054","7,47,626","7,18,813",-,0.58%
"May 18, 2020","7,35,661","7,34,034","7,54,485","7,24,054",-,0.28%
"May 17, 2020","7,33,635","7,11,131","7,48,509","7,07,614",-,3.11%
"May 16, 2020","7,11,525","7,06,282","7,25,789","6,99,487",-,0.82%
"May 15, 2020","7,05,756","7,39,149","7,42,569","6,94,186",-,-4.49%
"May 14, 2020","7,38,921","7,02,655","7,47,513","6,98,959",-,5.47%
"May 13, 2020","7,00,572","6,61,445","7,07,755","6,60,107",-,5.98%
"May 12, 2020","6,61,052","6,49,635","6,72,994","6,48,653",-,1.23%
"May 11, 2020","6,53,044","6,60,553","6,94,011","6,25,754",-,-1.18%
"May 10, 2020","6,60,824","7,21,109","7,21,352","6,16,735",-,-8.22%
"May 09, 2020","7,20,010","7,40,514","7,48,739","7,19,965",-,-2.85%
"May 08, 2020","7,41,150","7,56,491","7,60,101","7,34,909",-,-2.09%
"May 07, 2020","7,56,991","6,96,041","7,62,207","6,88,374",-,8.77%
"May 06, 2020","6,95,926","6,83,175","7,14,198","6,76,672",-,1.73%
"May 05, 2020","6,84,101","6,71,331","6,87,209","6,64,805",-,1.94%
"May 04, 2020","6,71,065","6,73,599","6,76,861","6,46,277",-,-0.43%
"May 03, 2020","6,73,968","6,79,544","6,95,785","6,61,013",-,-0.74%
"May 02, 2020","6,79,019","6,68,603","6,82,295","6,64,236",-,1.62%
"May 01, 2020","6,68,214","6,47,009","6,85,244","6,47,009",-,3.04%
"Apr 30, 2020","6,48,529","6,62,598","7,09,490","6,32,817",-,-1.95%
"Apr 29, 2020","6,61,435","5,89,563","6,74,870","5,87,103",-,12.23%
"Apr 28, 2020","5,89,352","5,92,935","5,92,935","5,82,863",-,-0.52%
"Apr 27, 2020","5,92,426","5,89,029","5,92,584","5,80,944",-,1.02%
"Apr 26, 2020","5,86,468","5,75,018","5,86,553","5,73,933",-,1.97%
"Apr 25, 2020","5,75,113","5,72,412","5,85,658","5,68,480",-,0.56%
"Apr 24, 2020","5,71,912","5,67,867","5,80,673","5,65,964",-,0.81%
"Apr 23, 2020","5,67,312","5,44,402","5,79,958","5,35,055",-,4.24%
"Apr 22, 2020","5,44,253","5,26,274","5,46,396","5,24,959",-,3.34%
"Apr 21, 2020","5,26,657","5,23,370","5,33,437","5,20,595",-,0.67%
"Apr 20, 2020","5,23,128","5,45,188","5,51,200","5,18,135",-,-4.07%
"Apr 19, 2020","5,45,308","5,54,902","5,55,788","5,40,668",-,-1.69%
"Apr 18, 2020","5,54,677","5,37,823","5,57,334","5,36,953",-,3.04%
"Apr 17, 2020","5,38,329","5,45,911","5,47,629","5,35,030",-,-1.33%
"Apr 16, 2020","5,45,583","5,06,576","5,50,891","4,97,256",-,7.59%
"Apr 15, 2020","5,07,071","5,22,026","5,27,186","5,06,247",-,-2.84%
"Apr 14, 2020","5,21,886","5,21,984","5,30,228","5,15,475",-,0.02%
"Apr 13, 2020","5,21,782","5,23,444","5,24,745","5,01,506",-,-0.37%
"Apr 12, 2020","5,23,745","5,21,863","5,44,168","5,14,555",-,0.29%
"Apr 11, 2020","5,22,235","5,20,557","5,26,287","5,13,351",-,0.27%
"Apr 10, 2020","5,20,818","5,55,816","5,56,447","5,12,329",-,-6.33%
"Apr 09, 2020","5,55,986","5,58,898","5,60,755","5,44,947",-,-0.51%
"Apr 08, 2020","5,58,818","5,44,643","5,62,970","5,41,281",-,2.57%
"Apr 07, 2020","5,44,825","5,57,100","5,65,772","5,36,492",-,-2.19%
"Apr 06, 2020","5,57,027","5,16,302","5,57,027","5,16,100",-,7.90%
"Apr 05, 2020","5,16,266","5,22,771","5,25,260","5,09,652",-,-1.18%
"Apr 04, 2020","5,22,421","5,13,004","5,32,522","5,07,849",-,1.77%
"Apr 03, 2020","5,13,316","5,18,893","5,35,165","5,04,449",-,-1.29%
"Apr 02, 2020","5,20,028","5,07,419","5,46,335","5,01,415",-,2.63%
"Apr 01, 2020","5,06,719","4,83,006","5,09,646","4,66,526",-,4.85%
"Mar 31, 2020","4,83,270","4,82,129","4,91,334","4,78,351",-,0.33%
"Mar 30, 2020","4,81,699","4,43,956","4,94,689","4,42,793",-,8.39%
"Mar 29, 2020","4,44,395","4,71,295","4,72,596","4,43,827",-,-5.65%
"Mar 28, 2020","4,70,984","4,79,989","4,79,989","4,56,753",-,-1.94%
"Mar 27, 2020","4,80,296","5,05,161","5,11,633","4,74,999",-,-4.90%
"Mar 26, 2020","5,05,023","5,10,787","5,17,545","4,90,938",-,-0.99%
"Mar 25, 2020","5,10,085","5,14,262","5,29,969","4,94,164",-,-1.04%
"Mar 24, 2020","5,15,422","4,93,574","5,19,948","4,86,581",-,4.16%
"Mar 23, 2020","4,94,858","4,37,443","5,01,028","4,29,088",-,12.81%
"Mar 22, 2020","4,38,663","4,66,546","4,82,771","4,33,257",-,-5.90%
"Mar 21, 2020","4,66,178","4,68,108","4,84,649","4,44,223",-,-0.79%
"Mar 20, 2020","4,69,876","4,61,143","5,15,942","4,33,524",-,1.85%
"Mar 19, 2020","4,61,326","4,02,282","4,77,868","3,92,450",-,14.81%
"Mar 18, 2020","4,01,816","3,94,289","4,02,413","3,71,986",-,1.74%
"Mar 17, 2020","3,94,933","3,76,382","4,08,105","3,66,017",-,6.46%
"Mar 16, 2020","3,70,979","3,95,836","3,95,969","3,32,021",-,-6.36%
"Mar 15, 2020","3,96,170","3,82,387","4,35,999","3,77,484",-,4.06%
"Mar 14, 2020","3,80,714","4,12,192","4,15,691","3,73,586",-,-7.73%
"Mar 13, 2020","4,12,617","3,62,021","4,34,184","2,82,204",-,15.51%
"Mar 12, 2020","3,57,202","5,85,428","5,86,621","3,36,269",-,-38.83%
"Mar 11, 2020","5,83,995","5,84,777","5,90,290","5,59,825",-,-0.22%
"Mar 10, 2020","5,85,310","5,88,391","6,04,031","5,75,326",-,-0.57%
"Mar 09, 2020","5,88,692","5,94,271","6,03,373","5,67,872",-,-0.89%
"Mar 08, 2020","5,93,995","6,57,598","6,57,598","5,92,823",-,-9.71%
"Mar 07, 2020","6,57,896","6,75,896","6,78,468","6,54,655",-,-2.65%
"Mar 06, 2020","6,75,776","6,65,967","6,76,041","6,60,985",-,1.52%
"Mar 05, 2020","6,65,647","6,43,763","6,72,834","6,43,763",-,3.36%
"Mar 04, 2020","6,43,982","6,40,328","6,50,226","6,35,970",-,0.68%
"Mar 03, 2020","6,39,662","6,49,657","6,51,417","6,33,057",-,-1.47%
"Mar 02, 2020","6,49,176","6,18,793","6,53,322","6,16,575",-,4.77%
"Mar 01, 2020","6,19,609","6,18,425","6,34,361","6,11,727",-,0.12%
"Feb 29, 2020","6,18,838","6,30,458","6,37,616","6,18,838",-,-1.87%
"Feb 28, 2020","6,30,651","6,32,264","6,38,809","6,10,543",-,-0.16%
"Feb 27, 2020","6,31,658","6,29,197","6,43,075","6,10,961",-,0.33%
"Feb 26, 2020","6,29,577","6,69,548","6,73,996","6,20,279",-,-6.00%
"Feb 25, 2020","6,69,793","6,94,533","6,95,317","6,64,797",-,-3.60%
"Feb 24, 2020","6,94,821","7,15,007","7,17,919","6,82,840",-,-2.94%
"Feb 23, 2020","7,15,838","6,93,767","7,16,687","6,93,570",-,3.15%
"Feb 22, 2020","6,93,977","6,95,638","6,97,625","6,87,227",-,-0.28%
"Feb 21, 2020","6,95,930","6,87,978","7,02,128","6,86,078",-,1.18%
"Feb 20, 2020","6,87,825","6,86,577","6,93,704","6,77,781",-,0.11%
"Feb 19, 2020","6,87,086","7,27,963","7,31,706","6,71,859",-,-5.58%
"Feb 18, 2020","7,27,657","6,92,462","7,33,732","6,86,911",-,5.18%
"Feb 17, 2020","6,91,847","7,08,572","7,11,948","6,74,838",-,-2.67%
"Feb 16, 2020","7,10,795","7,08,536","7,18,638","6,90,051",-,0.34%
"Feb 15, 2020","7,08,370","7,39,926","7,41,960","7,01,702",-,-4.26%
"Feb 14, 2020","7,39,857","7,29,700","7,41,890","7,21,602",-,1.29%
"Feb 13, 2020","7,30,423","7,35,624","7,49,141","7,20,990",-,-0.81%
"Feb 12, 2020","7,36,377","7,29,395","7,44,164","7,29,395",-,1.02%
"Feb 11, 2020","7,28,951","7,02,717","7,35,881","6,92,378",-,3.67%
"Feb 10, 2020","7,03,148","7,26,463","7,28,403","6,96,773",-,-3.19%
"Feb 09, 2020","7,26,298","7,07,878","7,26,521","7,06,637",-,2.60%
"Feb 08, 2020","7,07,908","7,02,200","7,10,727","6,91,713",-,0.76%
"Feb 07, 2020","7,02,580","6,96,115","7,06,059","6,94,188",-,0.96%
"Feb 06, 2020","6,95,918","6,84,348","7,01,658","6,78,897",-,1.67%
"Feb 05, 2020","6,84,496","6,53,999","6,92,555","6,52,711",-,4.69%
"Feb 04, 2020","6,53,828","6,63,515","6,66,725","6,48,137",-,-1.49%
"Feb 03, 2020","6,63,726","6,67,446","6,85,277","6,59,159",-,-0.66%
"Feb 02, 2020","6,68,122","6,71,690","6,77,492","6,58,572",-,-0.51%
"Feb 01, 2020","6,71,546","6,69,219","6,76,960","6,65,646",-,0.35%
"Jan 31, 2020","6,69,214","6,80,755","6,82,044","6,59,142",-,-1.69%
"Jan 30, 2020","6,80,749","6,63,247","6,85,236","6,57,080",-,2.70%
"Jan 29, 2020","6,62,856","6,69,448","6,72,666","6,59,622",-,-0.83%
"Jan 28, 2020","6,68,435","6,36,447","6,68,854","6,34,565",-,5.00%
"Jan 27, 2020","6,36,619","6,14,997","6,42,870","6,13,285",-,3.64%
"Jan 26, 2020","6,14,280","5,94,938","6,14,390","5,92,336",-,3.17%
"Jan 25, 2020","5,95,385","6,01,891","6,02,422","5,90,242",-,-1.11%
"Jan 24, 2020","6,02,064","6,00,120","6,07,810","5,87,714",-,0.28%
"Jan 23, 2020","6,00,400","6,17,432","6,17,432","5,93,572",-,-2.71%
"Jan 22, 2020","6,17,103","6,22,448","6,27,181","6,11,401",-,-0.74%
"Jan 21, 2020","6,21,680","6,14,495","6,24,635","6,06,273",-,1.26%
"Jan 20, 2020","6,13,916","6,18,448","6,21,078","6,05,830",-,-0.81%
"Jan 19, 2020","6,18,904","6,33,925","6,53,703","6,07,444",-,-2.37%
"Jan 18, 2020","6,33,951","6,33,536","6,38,624","6,25,990",-,0.04%
"Jan 17, 2020","6,33,669","6,19,165","6,40,745","6,15,865",-,2.24%
"Jan 16, 2020","6,19,816","6,24,128","6,26,524","6,08,812",-,-0.73%
"Jan 15, 2020","6,24,345","6,23,376","6,30,834","6,08,613",-,-0.19%
"Jan 14, 2020","6,25,558","5,73,289","6,28,789","5,73,289",-,9.17%
"Jan 13, 2020","5,73,006","5,80,794","5,81,553","5,70,754",-,-1.31%
"Jan 12, 2020","5,80,589","5,69,099","5,81,248","5,65,368",-,1.95%
"Jan 11, 2020","5,69,494","5,81,547","5,87,946","5,68,149",-,-2.09%
"Jan 10, 2020","5,81,629","5,56,701","5,81,629","5,45,967",-,4.42%
"Jan 09, 2020","5,57,017","5,75,883","5,75,883","5,51,926",-,-3.13%
"Jan 08, 2020","5,74,996","5,85,266","6,07,189","5,63,569",-,-1.90%
"Jan 07, 2020","5,86,148","5,57,511","5,88,223","5,55,846",-,5.15%
"Jan 06, 2020","5,57,455","5,28,055","5,59,339","5,27,390",-,5.55%
"Jan 05, 2020","5,28,123","5,27,685","5,37,558","5,25,474",-,0.02%
"Jan 04, 2020","5,27,999","5,26,535","5,30,886","5,22,773",-,0.56%
"Jan 03, 2020","5,25,034","4,96,934","5,30,981","4,90,840",-,5.68%
"Jan 02, 2020","4,96,803","5,12,859","5,13,675","4,95,432",-,-3.13%
"Jan 01, 2020","5,12,853","5,13,044","5,16,919","5,11,420",-,-0.11%
"Dec 31, 2019","5,13,407","5,16,800","5,21,782","5,09,986",-,-0.64%
"Dec 30, 2019","5,16,731","5,28,050","5,28,604","5,15,089",-,-2.21%
"Dec 29, 2019","5,28,422","5,22,746","5,37,670","5,20,772",-,1.10%
"Dec 28, 2019","5,22,687","5,18,313","5,26,137","5,17,303",-,0.90%
"Dec 27, 2019","5,18,009","5,13,374","5,19,222","5,07,115",-,0.85%
"Dec 26, 2019","5,13,629","5,13,520","5,29,586","5,10,625",-,0.04%
"Dec 25, 2019","5,13,419","5,17,210","5,17,995","5,08,206",-,-0.74%
"Dec 24, 2019","5,17,265","5,21,139","5,28,787","5,10,313",-,-0.86%
"Dec 23, 2019","5,21,774","5,33,996","5,47,850","5,17,798",-,-2.13%
"Dec 22, 2019","5,33,154","5,06,812","5,33,325","5,06,193",-,5.17%
"Dec 21, 2019","5,06,953","5,10,786","5,10,786","5,05,532",-,-0.70%
"Dec 20, 2019","5,10,539","5,09,486","5,12,915","5,04,155",-,0.29%
"Dec 19, 2019","5,09,053","5,17,320","5,21,758","5,01,581",-,-1.31%
"Dec 18, 2019","5,15,796","4,70,564","5,24,905","4,57,332",-,9.67%
"Dec 17, 2019","4,70,299","4,88,854","4,92,405","4,67,514",-,-3.81%
"Dec 16, 2019","4,88,945","5,04,013","5,07,334","4,85,515",-,-2.97%
"Dec 15, 2019","5,03,921","5,00,119","5,09,530","4,96,548",-,0.69%
"Dec 14, 2019","5,00,469","5,13,841","5,14,812","4,96,542",-,-2.58%
"Dec 13, 2019","5,13,738","5,08,174","5,16,258","5,07,688",-,1.17%
"Dec 12, 2019","5,07,812","5,12,399","5,14,520","5,02,206",-,-0.37%
"Dec 11, 2019","5,09,709","5,11,573","5,14,738","5,05,305",-,-0.36%
"Dec 10, 2019","5,11,526","5,20,458","5,24,468","5,08,150",-,-1.88%
"Dec 09, 2019","5,21,323","5,35,342","5,42,191","5,17,903",-,-2.58%
"Dec 08, 2019","5,35,110","5,33,765","5,38,274","5,26,341",-,0.24%
"Dec 07, 2019","5,33,838","5,36,835","5,40,550","5,33,064",-,-0.54%
"Dec 06, 2019","5,36,719","5,25,915","5,38,549","5,22,256",-,1.96%
"Dec 05, 2019","5,26,376","5,13,778","5,31,593","5,12,457",-,2.35%
"Dec 04, 2019","5,14,291","5,23,231","5,52,268","5,08,776",-,-1.64%
"Dec 03, 2019","5,22,843","5,22,585","5,29,392","5,18,325",-,-0.02%
"Dec 02, 2019","5,22,926","5,30,630","5,32,050","5,13,290",-,-1.42%
"Dec 01, 2019","5,30,458","5,41,078","5,41,078","5,19,497",-,-2.01%
"Nov 30, 2019","5,41,312","5,55,480","5,59,079","5,35,632",-,-2.50%
"Nov 29, 2019","5,55,178","5,30,410","5,62,727","5,29,453",-,4.65%
"Nov 28, 2019","5,30,508","5,35,393","5,45,784","5,26,649",-,-1.00%
"Nov 27, 2019","5,35,861","5,11,451","5,44,476","4,89,417",-,4.77%
"Nov 26, 2019","5,11,478","5,09,639","5,24,875","5,03,157",-,0.26%
"Nov 25, 2019","5,10,147","4,95,743","5,27,014","4,67,203",-,2.92%
"Nov 24, 2019","4,95,680","5,24,566","5,26,005","4,93,310",-,-5.44%
"Nov 23, 2019","5,24,209","5,21,831","5,27,053","5,08,633",-,0.38%
"Nov 22, 2019","5,22,234","5,47,284","5,54,228","4,87,659",-,-4.54%
"Nov 21, 2019","5,47,058","5,80,992","5,83,924","5,39,993",-,-5.84%
"Nov 20, 2019","5,80,988","5,84,279","5,90,195","5,77,809",-,-0.53%
"Nov 19, 2019","5,84,087","5,88,724","5,90,770","5,74,978",-,-0.86%
"Nov 18, 2019","5,89,152","6,09,234","6,09,234","5,81,406",-,-3.27%
"Nov 17, 2019","6,09,088","6,08,300","6,16,908","6,00,965",-,0.14%
"Nov 16, 2019","6,08,248","6,07,005","6,11,185","6,04,787",-,0.18%
"Nov 15, 2019","6,07,163","6,22,497","6,29,838","6,03,802",-,-2.49%
"Nov 14, 2019","6,22,643","6,33,286","6,34,793","6,18,282",-,-1.70%
"Nov 13, 2019","6,33,439","6,33,286","6,34,507","6,24,929",-,0.18%
"Nov 12, 2019","6,32,330","6,25,104","6,33,857","6,15,780",-,1.18%
"Nov 11, 2019","6,24,973","6,45,042","6,47,082","6,17,117",-,-3.16%
"Nov 10, 2019","6,45,372","6,28,528","6,51,969","6,24,703",-,2.70%
"Nov 09, 2019","6,28,420","6,26,169","6,33,243","6,22,889",-,0.31%
"Nov 08, 2019","6,26,500","6,54,584","6,59,532","6,20,754",-,-4.29%
"Nov 07, 2019","6,54,580","6,63,278","6,65,491","6,48,036",-,-1.33%
"Nov 06, 2019","6,63,386","6,58,598","6,68,987","6,55,889",-,0.76%
"Nov 05, 2019","6,58,402","6,64,804","6,69,206","6,49,002",-,-0.97%
"Nov 04, 2019","6,64,846","6,50,666","6,73,023","6,44,917",-,2.21%
"Nov 03, 2019","6,50,450","6,57,405","6,62,209","6,42,138",-,-1.04%
"Nov 02, 2019","6,57,298","6,53,125","6,62,389","6,50,455",-,0.68%
"Nov 01, 2019","6,52,842","6,49,658","6,56,000","6,41,649",-,0.51%
"Oct 31, 2019","6,49,510","6,49,549","6,65,491","6,35,405",-,0.03%
"Oct 30, 2019","6,49,308","6,66,767","6,66,962","6,39,599",-,-2.65%
"Oct 29, 2019","6,66,956","6,51,283","6,74,213","6,46,396",-,2.44%
"Oct 28, 2019","6,51,093","6,74,935","7,00,586","6,50,764",-,-3.58%
"Oct 27, 2019","6,75,247","6,53,570","6,92,185","6,42,833",-,3.17%
"Oct 26, 2019","6,54,513","6,12,975","7,30,667","6,12,182",-,6.67%
"Oct 25, 2019","6,13,561","5,26,087","6,17,184","5,25,140",-,16.66%
"Oct 24, 2019","5,25,954","5,28,052","5,32,463","5,21,049",-,-0.41%
